"Album","Year","Continent","Country","Sales","Pure_sales_index"
"Taylor Swift","2006","Asia","Afghanistan",42,0.042
"Taylor Swift","2007","Asia","Afghanistan",27,0.027
"Taylor Swift","2008","Asia","Afghanistan",27,0.027
"Taylor Swift","2009","Asia","Afghanistan",29,0.029
"Taylor Swift","2010","Asia","Afghanistan",34,0.034
"Taylor Swift","2011","Asia","Afghanistan",60,0.06
"Taylor Swift","2012","Asia","Afghanistan",41,0.041
"Taylor Swift","2013","Asia","Afghanistan",41,0.041
"Taylor Swift","2014","Asia","Afghanistan",50,0.05
"Taylor Swift","2015","Asia","Afghanistan",22,0.022
"Taylor Swift","2016","Asia","Afghanistan",38,0.038
"Taylor Swift","2017","Asia","Afghanistan",31,0.031
"Taylor Swift","2018","Asia","Afghanistan",28,0.028
"Taylor Swift","2019","Asia","Afghanistan",34,0.034
"Taylor Swift","2020","Asia","Afghanistan",44,0.044
"Taylor Swift","2021","Asia","Afghanistan",32,0.032
"Taylor Swift","2006","Asia","Azerbaijan",42,0.042
"Taylor Swift","2007","Asia","Azerbaijan",43,0.043
"Taylor Swift","2008","Asia","Azerbaijan",35,0.035
"Taylor Swift","2009","Asia","Azerbaijan",41,0.041
"Taylor Swift","2010","Asia","Azerbaijan",46,0.046
"Taylor Swift","2011","Asia","Azerbaijan",46,0.046
"Taylor Swift","2012","Asia","Azerbaijan",27,0.027
"Taylor Swift","2013","Asia","Azerbaijan",27,0.027
"Taylor Swift","2014","Asia","Azerbaijan",54,0.054
"Taylor Swift","2015","Asia","Azerbaijan",51,0.051
"Taylor Swift","2016","Asia","Azerbaijan",62,0.062
"Taylor Swift","2017","Asia","Azerbaijan",47,0.047
"Taylor Swift","2018","Asia","Azerbaijan",46,0.046
"Taylor Swift","2019","Asia","Azerbaijan",45,0.045
"Taylor Swift","2020","Asia","Azerbaijan",38,0.038
"Taylor Swift","2021","Asia","Azerbaijan",28,0.028
"Taylor Swift","2006","Asia","Bahrain",46,0.046
"Taylor Swift","2007","Asia","Bahrain",31,0.031
"Taylor Swift","2008","Asia","Bahrain",19,0.019
"Taylor Swift","2009","Asia","Bahrain",33,0.033
"Taylor Swift","2010","Asia","Bahrain",36,0.036
"Taylor Swift","2011","Asia","Bahrain",26,0.026
"Taylor Swift","2012","Asia","Bahrain",27,0.027
"Taylor Swift","2013","Asia","Bahrain",38,0.038
"Taylor Swift","2014","Asia","Bahrain",38,0.038
"Taylor Swift","2015","Asia","Bahrain",34,0.034
"Taylor Swift","2016","Asia","Bahrain",47,0.047
"Taylor Swift","2017","Asia","Bahrain",38,0.038
"Taylor Swift","2018","Asia","Bahrain",30,0.03
"Taylor Swift","2019","Asia","Bahrain",42,0.042
"Taylor Swift","2020","Asia","Bahrain",37,0.037
"Taylor Swift","2021","Asia","Bahrain",49,0.049
"Taylor Swift","2006","Asia","Bangladesh",2200,2.2
"Taylor Swift","2007","Asia","Bangladesh",11000,11
"Taylor Swift","2008","Asia","Bangladesh",3300,3.3
"Taylor Swift","2009","Asia","Bangladesh",2300,2.3
"Taylor Swift","2010","Asia","Bangladesh",1100,1.1
"Taylor Swift","2011","Asia","Bangladesh",1000,1
"Taylor Swift","2012","Asia","Bangladesh",900,0.9
"Taylor Swift","2013","Asia","Bangladesh",870,0.87
"Taylor Swift","2014","Asia","Bangladesh",730,0.73
"Taylor Swift","2015","Asia","Bangladesh",600,0.6
"Taylor Swift","2016","Asia","Bangladesh",150,0.15
"Taylor Swift","2017","Asia","Bangladesh",300,0.3
"Taylor Swift","2018","Asia","Bangladesh",500,0.5
"Taylor Swift","2019","Asia","Bangladesh",400,0.4
"Taylor Swift","2020","Asia","Bangladesh",100,0.1
"Taylor Swift","2021","Asia","Bangladesh",50,0.05
"Taylor Swift","2006","Asia","Brunei",40,0.04
"Taylor Swift","2007","Asia","Brunei",14,0.014
"Taylor Swift","2008","Asia","Brunei",19,0.019
"Taylor Swift","2009","Asia","Brunei",51,0.051
"Taylor Swift","2010","Asia","Brunei",44,0.044
"Taylor Swift","2011","Asia","Brunei",46,0.046
"Taylor Swift","2012","Asia","Brunei",52,0.052
"Taylor Swift","2013","Asia","Brunei",35,0.035
"Taylor Swift","2014","Asia","Brunei",28,0.028
"Taylor Swift","2015","Asia","Brunei",56,0.056
"Taylor Swift","2016","Asia","Brunei",35,0.035
"Taylor Swift","2017","Asia","Brunei",39,0.039
"Taylor Swift","2018","Asia","Brunei",43,0.043
"Taylor Swift","2019","Asia","Brunei",47,0.047
"Taylor Swift","2020","Asia","Brunei",45,0.045
"Taylor Swift","2021","Asia","Brunei",26,0.026
"Taylor Swift","2006","Asia","Cambodia",32,0.032
"Taylor Swift","2007","Asia","Cambodia",27,0.027
"Taylor Swift","2008","Asia","Cambodia",41,0.041
"Taylor Swift","2009","Asia","Cambodia",35,0.035
"Taylor Swift","2010","Asia","Cambodia",45,0.045
"Taylor Swift","2011","Asia","Cambodia",37,0.037
"Taylor Swift","2012","Asia","Cambodia",31,0.031
"Taylor Swift","2013","Asia","Cambodia",40,0.04
"Taylor Swift","2014","Asia","Cambodia",45,0.045
"Taylor Swift","2015","Asia","Cambodia",16,0.016
"Taylor Swift","2016","Asia","Cambodia",15,0.015
"Taylor Swift","2017","Asia","Cambodia",40,0.04
"Taylor Swift","2018","Asia","Cambodia",28,0.028
"Taylor Swift","2019","Asia","Cambodia",56,0.056
"Taylor Swift","2020","Asia","Cambodia",43,0.043
"Taylor Swift","2021","Asia","Cambodia",39,0.039
"Taylor Swift","2006","Asia","China",3e+05,100
"Taylor Swift","2007","Asia","China",270000,100
"Taylor Swift","2008","Asia","China",160000,100
"Taylor Swift","2009","Asia","China",1e+05,100
"Taylor Swift","2010","Asia","China",55000,55
"Taylor Swift","2011","Asia","China",50000,50
"Taylor Swift","2012","Asia","China",48000,48
"Taylor Swift","2013","Asia","China",45000,45
"Taylor Swift","2014","Asia","China",35000,35
"Taylor Swift","2015","Asia","China",34000,34
"Taylor Swift","2016","Asia","China",9000,9
"Taylor Swift","2017","Asia","China",12000,12
"Taylor Swift","2018","Asia","China",3000,3
"Taylor Swift","2019","Asia","China",2500,2.5
"Taylor Swift","2020","Asia","China",2000,2
"Taylor Swift","2021","Asia","China",1500,1.5
"Taylor Swift","2006","Asia","India",2200,2.2
"Taylor Swift","2007","Asia","India",5100,5.1
"Taylor Swift","2008","Asia","India",3300,3.3
"Taylor Swift","2009","Asia","India",1900,1.9
"Taylor Swift","2010","Asia","India",1100,1.1
"Taylor Swift","2011","Asia","India",1000,1
"Taylor Swift","2012","Asia","India",900,0.9
"Taylor Swift","2013","Asia","India",870,0.87
"Taylor Swift","2014","Asia","India",730,0.73
"Taylor Swift","2015","Asia","India",600,0.6
"Taylor Swift","2016","Asia","India",150,0.15
"Taylor Swift","2017","Asia","India",300,0.3
"Taylor Swift","2018","Asia","India",500,0.5
"Taylor Swift","2019","Asia","India",400,0.4
"Taylor Swift","2020","Asia","India",100,0.1
"Taylor Swift","2021","Asia","India",50,0.05
"Taylor Swift","2006","Asia","Indonesia",2200,2.2
"Taylor Swift","2007","Asia","Indonesia",5100,5.1
"Taylor Swift","2008","Asia","Indonesia",3300,3.3
"Taylor Swift","2009","Asia","Indonesia",2700,2.7
"Taylor Swift","2010","Asia","Indonesia",1100,1.1
"Taylor Swift","2011","Asia","Indonesia",1000,1
"Taylor Swift","2012","Asia","Indonesia",900,0.9
"Taylor Swift","2013","Asia","Indonesia",870,0.87
"Taylor Swift","2014","Asia","Indonesia",730,0.73
"Taylor Swift","2015","Asia","Indonesia",600,0.6
"Taylor Swift","2016","Asia","Indonesia",150,0.15
"Taylor Swift","2017","Asia","Indonesia",300,0.3
"Taylor Swift","2018","Asia","Indonesia",500,0.5
"Taylor Swift","2019","Asia","Indonesia",400,0.4
"Taylor Swift","2020","Asia","Indonesia",100,0.1
"Taylor Swift","2021","Asia","Indonesia",50,0.05
"Taylor Swift","2006","Asia","Iran",46,0.046
"Taylor Swift","2007","Asia","Iran",42,0.042
"Taylor Swift","2008","Asia","Iran",34,0.034
"Taylor Swift","2009","Asia","Iran",48,0.048
"Taylor Swift","2010","Asia","Iran",65,0.065
"Taylor Swift","2011","Asia","Iran",33,0.033
"Taylor Swift","2012","Asia","Iran",32,0.032
"Taylor Swift","2013","Asia","Iran",23,0.023
"Taylor Swift","2014","Asia","Iran",42,0.042
"Taylor Swift","2015","Asia","Iran",35,0.035
"Taylor Swift","2016","Asia","Iran",45,0.045
"Taylor Swift","2017","Asia","Iran",31,0.031
"Taylor Swift","2018","Asia","Iran",41,0.041
"Taylor Swift","2019","Asia","Iran",54,0.054
"Taylor Swift","2020","Asia","Iran",42,0.042
"Taylor Swift","2021","Asia","Iran",35,0.035
"Taylor Swift","2006","Asia","Iraq",16,0.016
"Taylor Swift","2007","Asia","Iraq",36,0.036
"Taylor Swift","2008","Asia","Iraq",30,0.03
"Taylor Swift","2009","Asia","Iraq",33,0.033
"Taylor Swift","2010","Asia","Iraq",29,0.029
"Taylor Swift","2011","Asia","Iraq",45,0.045
"Taylor Swift","2012","Asia","Iraq",17,0.017
"Taylor Swift","2013","Asia","Iraq",50,0.05
"Taylor Swift","2014","Asia","Iraq",22,0.022
"Taylor Swift","2015","Asia","Iraq",29,0.029
"Taylor Swift","2016","Asia","Iraq",18,0.018
"Taylor Swift","2017","Asia","Iraq",46,0.046
"Taylor Swift","2018","Asia","Iraq",37,0.037
"Taylor Swift","2019","Asia","Iraq",36,0.036
"Taylor Swift","2020","Asia","Iraq",43,0.043
"Taylor Swift","2021","Asia","Iraq",48,0.048
"Taylor Swift","2006","Asia","Israel",8,0.008
"Taylor Swift","2007","Asia","Israel",32,0.032
"Taylor Swift","2008","Asia","Israel",40,0.04
"Taylor Swift","2009","Asia","Israel",39,0.039
"Taylor Swift","2010","Asia","Israel",23,0.023
"Taylor Swift","2011","Asia","Israel",49,0.049
"Taylor Swift","2012","Asia","Israel",28,0.028
"Taylor Swift","2013","Asia","Israel",35,0.035
"Taylor Swift","2014","Asia","Israel",36,0.036
"Taylor Swift","2015","Asia","Israel",42,0.042
"Taylor Swift","2016","Asia","Israel",51,0.051
"Taylor Swift","2017","Asia","Israel",15,0.015
"Taylor Swift","2018","Asia","Israel",25,0.025
